[-120.0, 0.0, -66, -71, -63, -55, -46, -44]
[-120.0, 0.0, -64, -70, -64, -55, -47, -43]
[-120.0, 0.0, -65, -69, -64, -55, -48, -44]
[-120.0, 0.0, -66, -69, -66, -55, -48, -43]
[-120.0, 0.0, -66, -68, -65, -54, -49, -43]
[-120.0, 0.0, -65, -69, -62, -56, -46, -42]
[-120.0, 0.0, -65, -71, -60, -57, -46, -43]
[-120.0, 0.0, -66, -62, -59, -57, -47, -40]
[-120.0, 0.0, -66, -64, -58, -59, -46, -43]
[-120.0, 0.0, -64, -70, -59, -57, -47, -44]
[-120.0, 0.0, -67, -68, -54, -44, -47, -50]
[-120.0, 0.0, -67, -67, -53, -45, -45, -50]
[-120.0, 0.0, -62, -65, -55, -43, -45, -48]
[-120.0, 0.0, -67, -65, -57, -47, -46, -49]
[-120.0, 0.0, -61, -65, -55, -49, -45, -53]
[-120.0, 0.0, -62, -66, -56, -49, -45, -57]
[-120.0, 0.0, -61, -66, -55, -49, -45, -60]
[-120.0, 0.0, -59, -67, -54, -53, -44, -60]
[-120.0, 0.0, -59, -68, -55, -52, -45, -56]
[-120.0, 0.0, -63, -78, -55, -59, -48, -54]
[-120.0, 0.0, -64, -73, -56, -55, -47, -52]
[-120.0, 0.0, -65, -71, -56, -53, -46, -53]
[-120.0, 0.0, -66, -68, -54, -56, -46, -54]
[-120.0, 0.0, -66, -78, -57, -52, -49, -53]
[-120.0, 0.0, -63, -78, -54, -56, -48, -45]
[-120.0, 0.0, -66, -72, -54, -67, -50, -43]
[-120.0, 0.0, -66, -69, -52, -63, -51, -46]
[-120.0, 0.0, -67, -66, -53, -55, -51, -45]
[-120.0, 0.0, -67, -62, -53, -56, -51, -46]
[-120.0, 0.0, -66, -68, -53, -56, -52, -48]
[-120.0, 0.0, -69, -68, -53, -56, -48, -47]
[-120.0, 0.0, -66, -67, -53, -58, -50, -48]
[-120.0, 0.0, -67, -68, -54, -57, -49, -47]
[-120.0, 0.0, -66, -69, -54, -57, -49, -49]
[-120.0, 0.0, -68, -70, -54, -56, -49, -49]
[-240.0, 0.0, -65, -60, -52, -41, -49, -52]
[-240.0, 0.0, -67, -63, -54, -43, -48, -51]
[-240.0, 0.0, -70, -60, -52, -43, -48, -48]
[-240.0, 0.0, -70, -66, -49, -44, -51, -45]
[-240.0, 0.0, -66, -64, -48, -42, -50, -44]
[-240.0, 0.0, -69, -64, -51, -41, -52, -45]
[-240.0, 0.0, -67, -62, -52, -42, -50, -47]
[-240.0, 0.0, -67, -61, -52, -49, -50, -45]
[-240.0, 0.0, -68, -61, -52, -48, -50, -45]
[-240.0, 0.0, -70, -61, -53, -45, -52, -45]
[-240.0, 0.0, -66, -61, -54, -46, -49, -45]
[-240.0, 0.0, -68, -61, -53, -45, -52, -44]
[-240.0, 0.0, -65, -61, -56, -44, -52, -45]
[-240.0, 0.0, -66, -60, -54, -44, -52, -44]
[-240.0, 0.0, -66, -59, -55, -44, -53, -44]
[-240.0, 0.0, -65, -60, -56, -44, -53, -47]
[-240.0, 0.0, -66, -61, -56, -44, -53, -45]
[-240.0, 0.0, -66, -61, -55, -44, -53, -45]
[-240.0, 0.0, -65, -61, -57, -44, -52, -45]
[-240.0, 0.0, -64, -59, -56, -46, -53, -44]
[-240.0, 0.0, -66, -60, -55, -43, -54, -50]
[-240.0, 0.0, -65, -60, -53, -47, -53, -55]
[-240.0, 0.0, -64, -59, -57, -49, -53, -43]
[-240.0, 0.0, -64, -58, -58, -50, -56, -43]
[-240.0, 0.0, -65, -62, -52, -44, -52, -54]
[-240.0, 0.0, -60, -56, -52, -60, -53, -48]
[-240.0, 0.0, -64, -56, -52, -53, -52, -54]
[-240.0, 0.0, -67, -61, -54, -56, -58, -55]
[-240.0, 0.0, -61, -61, -51, -53, -58, -52]
[-240.0, 0.0, -60, -58, -55, -51, -60, -51]
[-240.0, 0.0, -61, -60, -53, -52, -56, -53]
[-240.0, 0.0, -60, -60, -52, -54, -55, -53]
[-240.0, 0.0, -59, -58, -60, -49, -59, -50]
